web_scraper_order,web_scraper_start_url,URL,Title,Ingredients,Preparation time,Conservation time,Level,Benefits
"1768680696-23","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/shampooing-barre-anti-jaunissement-pour-cheveux-blonds-blancs-et-gris","Shampoing ""barre"" anti-jaunissement pour cheveux blonds, blancs et gris","~ 65 gPhase A Tensioactif SLSA12 gTensioactif Sodium coco sulfate (SCS)17 gEau minérale13 gPhase BOxyde minéral bleu0.3 g soit 1.5 cuillère DASHIndigo BIO - Colorant capillaire végétal4 gFragrance naturelle Beauty addict2 gActif Maca Vital1.3 gPoudre d'Amidon de Maïs BIO10 g","Préparation : 30  min","Conservation : ~6 mois*","Niveau : Avancé","Conditionneur capillaire"
"1768680725-24","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lotion-rosee-simplissime-aux-fleurs-precieuses","Lotion rosée ""Simplissime"" aux fleurs précieuses","~100 ml  Hydrolat de Rose de Damas BIO35 gEau aromatique de Jasmin sambac60 g Colorant naturel Jus de Betterave BIO0.1 g Actif Urée5 gConservateur Cosgard0.6 g soit 20 gouttes","Préparation : 5  min","Conservation : ~ 3 mois*","Niveau : Débutant","Hydratant"
"1768680757-25","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/serum-precieux-anti-age","Sérum précieux jeunesse","~ 30 mlPhase A Hydrolat de Rose de Damas BIO6 gEau minérale20 gPhase BGomme Xanthane0.15 g soit 1 cuillère DASHPhase CExtrait de bourgeons de hêtre BIO0.6 g soit 16 gouttesActif Extrait concentré de Sang du Dragon0.6 gColorant naturel Jus de Betterave BIO0.03 g soit 1 goutteFragrance naturelle Pétales de Rose0.2 g soit 6 gouttesGélisucre BIO - émulsifiant0.9 gConservateur Leucidal1.2 g soit 26 gouttes","Préparation : 20  min","Conservation : ~ 3 mois","Niveau : Débutant","Anti-âge"
"1768680786-26","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/soin-fluide-hydratant-anti-spot-pour-les-peaux-problemes","Fluide ""désaltérant"" aux extraits de chaulmoogra et tea tree purifiants","~ 50 ml  Phase A Huile de Chaulmoogra4.8 gCaprylis - Emollient5.7 gHuile essentielle Tea tree (Arbre à Thé BIO)0.15 g soit 6 gouttesPhase BGélisucre BIO - émulsifiant3.3 g Phase CEau minérale36 gConservateur Cosgard0.3 g soit 10 gouttesPhase DGomme Xanthane0.2 g soit 1 cuillère DASH","Préparation : 25  min","Conservation : ~3 mois *","Niveau : Avancé","Hydratant"
"1768680815-27","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-seche-preparation-au-sport","Huile de massage préparation au sport","~ 50 ml  Caprylis - Emollient11 g Myristate d'isopropyle - Emollient22 gHuile de Son riz BIO9 g Huile essentielle Pamplemousse sans furocoumarines BIO1.8 g soit 67 gouttesHuile essentielle Gingembre BIO0.5 g soit 17 gouttes Huile essentielle Baies Roses0.6 g soit 22 gouttesHuile essentielle Menthe poivrée BIO0.09 g soit 3 gouttes","Préparation : 15  min","Conservation : ~6 mois","Niveau : Débutant","Tous types de peaux"
"1768680846-28","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/fixateur-dombres-paupieres-satine","Fixateur d'ombres à paupières satiné","~6 mlBeurre de Karité (sauvage) désodorisé2.1 gHuile de Vanille BIO (macérât huileux)0.9 gTalc Douceur - poudre support2.1 gOxyde minéral rouge0.01 g soit 1 cuillère DROPOxyde minéral jaune0.03 g soit 1 cuillère SMIDGENMica Blanc brillant0.8 g","Préparation : 30  min","Conservation : ~6 mois*","Niveau : Avancé","Maquillage"
"1768680879-29","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/stick-maquillage-multi-fonctions-cannelle-doree","Stick maquillage multi-fonctions cannelle dorée","~ 15 mlPhase A Base Stick Melt & Pour11.3 gColorant Empâtage blanc0.6 gPhase BBase poudre de Maquillage8 gOxyde minéral brun0.3 g soit 2 cuillères PINCHPhase CMica Blanc brillant0.9 gFragrance naturelle Sorbet d'abricot0.02 g  soit 1 goutte","Préparation : 25  min","Conservation : ~ 6 mois","Niveau : Avancé","Maquillage"
"1768680908-30","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gommage-visage-et-corps-aux-fruits-dete-preparation-au-soleil","Gommage visage et corps aux fruits d'été ""préparation au soleil""","~120 mlPhase A Olivem 1000 - émulsifiant8.5 gEau minérale85 g Phase BExfoliant Poudre de noyaux d'Olives4.8 gArôme naturel Abricot2 gConservateur Cosgard1,2 g soit 38 gouttes","Préparation : 25  min","Conservation : ~1 mois*","Niveau : Débutant","Apaisant"
"1768680935-31","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/shampooing-minute-anti-jaunissement-pour-cheveux-blancs-et-blonds","Shampoing minute anti-jaunissement pour cheveux blancs, blonds et gris","1 shampoingBase shampoing neutre sans palme1 cuillère à soupePâte à mousse1 cuillère à caféActif Provitamine B5 (Panthénol)10 gouttesFragrance naturelle Beauty addict5 gouttesIndigo BIO - Colorant capillaire végétal½ cuillère à café","Préparation : 5  min","Conservation : A utiliser de suite*","Niveau : Débutant","Conditionneur capillaire"
"1768680967-32","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/masque-actif-nuit-peaux-problemes","Masque ""actif nuit"" peaux à imperfections","~ 60 mlPhase A Eau minérale30 gHydrolat de Sarriette de Provence BIO20 gGomme Xanthane2 gPhase BGomme Acacia (ou arabique)6.3 gPhase CActif Algo'Zinc3.2 g soit 59 gouttesHuile essentielle Lavande aspic0.6 g soit 23 gouttesHuile essentielle Citron sans furocoumarines de Sicile BIO0.6 g soit 25 gouttesConservateur Cosgard0.4 g soit 13 gouttes","Préparation : 20  min","Conservation : ~3 mois *","Niveau : Débutant","Purifiant"
"1768680997-33","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/creme-detente-des-muscles-menthol-arnica-eucalyptus","Crème de massage ""Relax'muscles"" Menthol, Arnica & Eucalyptus","~50 ml Phase A Huile d'Arnica BIO (macérât huileux)2.5 gActif Menthol en cristaux BIO1 gCire émulsifiante n°3 sans palme2.5 gPhase BHydrolat d'Eucalyptus globulus BIO20 geau minérale15 gPhase CHuile essentielle Eucalyptus citronné BIO0.5 gChlorophylle liquide - colorant0.1 g soit 3 gouttesConservateur Cosgard0.3 g soit 10 gouttes","Préparation : 25  min","Conservation : ~3 mois *","Niveau : Débutant","Apaisant"
"1768681027-34","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lait-peaux-delicates-visage-corps","Lait peaux délicates visage & corps","~100 ml  Lait végétal neutre100 gActif Bisabolol BIO0.5 gArôme naturel Vanille BIO5 gExtrait CO2 Calendula BIO0.2 g soit 2 cuillères SMIDGEN","Préparation : 5  min","Conservation : ~3 mois *","Niveau : Débutant","Adoucissant"
"1768681055-35","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lait-aux-petales-de-rose-pour-le-corps","Lait aux pétales de rose pour le corps","~150 ml  Phase A Huile d'Amande douce BIO18.3 gCire émulsifiante n°3 sans palme5.8 gPhase BEau minérale 120 gPhase CFragrance naturelle Pétales de Rose3.7 gConservateur Cosgard0.9 g","Préparation : 25  min","Conservation : ~1 mois *","Niveau : Avancé","Adoucissant"
"1768681085-36","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/creme-gourmande-pour-le-corps-pina-colada","Crème gourmande pour le corps piña colada","~100 ml Phase A Huile de Coco BIO18.4 g Olivem 1000 - émulsifiant8 gPhase BEau minérale66 gActif Lait de coco en poudre BIO5 gPhase CFragrance naturelle Ananas des îles1.3 g soit 42 gouttesConservateur Cosgard0.6 g soit 20 gouttes","Préparation : 25  min","Conservation : ~1 mois *","Niveau : Avancé","Adoucissant"
"1768681115-37","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/rouge-levres-pink","Rouge à lèvres pink","Pour un flacon ~ 10 ml Phase A Colorant Empâtage blanc0.6 gOxyde minéral rose0.6 g soit 2 cuillères TADMica Cuivre0.4 g soit 4 cuillères PINCHPhase BBase Stick Melt & Pour7 gPhase CFragrance naturelle Pétales de Rose0.1 g soit 5 gouttes","Préparation : 20  min","Conservation : ~6 mois *","Niveau : Confirmé","Maquillage"
"1768681145-38","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/vernis-ongles-time-dance","Vernis à ongles Time to dance","~ 6 ml  Base Vernis à  ongles6 gPigment végétal Pourpre Sureau0.35 gMica Cuivre0.06 g","Préparation : 5  min","Coût : 0.8 € / ~6 ml","",""
"1768681177-39","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gel-douche-dynamisant-gingembre-guarana","Gel douche dynamisant gingembre & guarana","~ 250 ml  Phase A - Première partie : Réalisation du macérât aqueux de Guarana à 10% Eau minérale36 gPhase B - Deuxième partie : Réalisation du Gel doucheTensioactif Base Consistance sans palme24.8 gPhase CFragrance naturelle Citron meringué0.5 g soit 17 gouttesHuile essentielle Gingembre0.17 g soit 6 gouttesPhase DBase lavante neutre sans palme117 gMacérât aqueux de Guarana BIO à 10%16.5 gActif Complexe Hydratation Intense5 gConservateur Cosgard1.6 g","Préparation : 15  min","Conservation : ~2 mois","Niveau : Débutant","Parfumant"
"1768681206-40","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/vernis-ongles-silver-light","Vernis à ongles Silver light","~ 6 ml  Base Vernis à  ongles6 gMica Brillant effet Paillettes intense0.2 g","Préparation : 5  min","Coût : 0.8 € / ~6 ml","",""
"1768681235-41","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/sels-colores-pour-le-bain-ylang-ylang","Sels colorés pour le bain : ylang-ylang","~200 ml  (avec balance)Dispersant Solubol15 gHuile essentielle Ylang-Ylang complète BIO2.5 g soit 87 gouttesSel d'Epsom150 gOxyde minéral bleu0.4 gPoudre d'Amidon de Maïs BIO30 g","Préparation : 15  min","Conservation : ~6 mois *","Niveau : Débutant","Peaux normales"
"1768681266-42","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/roll-yeux-anti-cernes-et-anti-age","Roll yeux  anti-cernes et anti-âge","~ 15 mlHuile de Lentisque de Kabylie4 ml (3.6 g)Huile de Son riz BIO 4 ml (3.7 g)Huile d'Avocat BIO 7 ml (6.4 g)","Préparation : 5  min","Conservation : ~6 mois*","Niveau : Débutant","Nutritif"
"1768681299-43","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lait-prolongateur-de-bronzage","Lait à l'extrait Co2 de Carotte prolongateur de bronzage","~250 mlPhase A Caprylis - Emollient62.5 gPhase BGélisucre BIO - émulsifiant20 gPhase CEau minérale 153 gGomme Xanthane1 gPhase DActif Provitamine B5 (Panthénol)5 gExtrait CO2 Carotte BIO2.5 gActif Coenzyme Q102.5 gConservateur Cosgard1.5 g","Préparation : 35  min","Conservation : ~6 mois *","Niveau : Avancé","Bonne mine & bronzage"
"1768681327-44","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/vernis-ongles-beige-nude","Vernis à ongles beige nude","~ 6 ml  Base Vernis à  ongles6 gMica Beige nude0.25 gColorant Empâtage blanc0.4 g","Préparation : 10  min","Coût : 1.3 € / ~6 ml","",""
"1768681355-45","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/scrub-cuticules","Scrub cuticules","~ 6 ml  Phase A Glycérine végétale - Emollient1.2 gGomme Xanthane0.04 g (soit 1 cuillère DROP)Phase BEau minérale4 gPhase CActif Acide salicylique végétal0.6 gExfoliant Perles de Bambou0.2 gConservateur Cosgard0.05 g (soit 2 gouttes)","Préparation : 20  min","Conservation : ~ 3 mois","Niveau : Débutant","Adoucissant"
"1768681388-46","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gel-douche-au-bouquet-de-fleurs","Gel douche au bouquet de fleurs","Phase A Tensioactif Base Consistance sans palme25 gPhase BFragrance naturelle La fée Muguet1.3 g soit 55 gouttesFragrance naturelle Fleur de Coton0.5 g soit 19 gouttesFragrance naturelle Pétales de Rose0.8 g soit 31 gouttesPhase CBase lavante neutre sans palme220 gActif Céramides végétales2.5 g","Préparation : 15  min","Conservation : ~  3 mois","Niveau : Débutant","Parfumant"
"1768681417-47","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/creme-matifiante-au-petitgrain-bigarade-pour-peaux-grasses","Crème matifiante pour peaux grasses","~ 50 ml  Crème visage et corps désaltérante1 pot de 50 mlActif Bacti-Pur34 gouttesActif Microsphères de silice2 cuillères 0.5 mlHuile essentielle Petitgrain Bigarade BIO17 gouttes","Préparation : 5  min","Conservation : ~3 mois*","Niveau : Débutant","Matifiant"
"1768681447-48","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/enveloppement-marin-ventre-plat","Enveloppement marin ventre plat","Pour 1 enveloppementPoudre d'Amidon de Maïs BIO5 C. à soupeSpiruline en poudre BIO2 C. à caféActif Fuco'slim BIO1 c. à caféHuile essentielle de Criste marine (Christe marine) BIO5 gouttesEau minérale4 c. à soupe","Préparation : 5  min","Conservation : A utiliser de suite*","Niveau : Débutant","Minceur"
"1768681477-49","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/deo-stick-silice-et-zinc","Déo stick silice et zinc","~ 50 ml  Phase A Cire Cera Bellina18.3 gMyristate d'isopropyle - Emollient25 gActif Zinc ricinoleate1.5 gActif Complexe déodorant Farnesol - Lemonester1.5 gPhase BActif Microsphères de silice2 gFragrance naturelle Body butter0.5 g soit 21 gouttes","Préparation : 15  min","Conservation : ~6 mois*","Niveau : Avancé","Adoucissant"
"1768681507-50","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/poudre-exfoliante-enzymatique-aux-actifs-marins","Poudre exfoliante enzymatique aux actifs marins","~ 50 ml  Actif Enzymes naturelles1.2 gTalc Douceur - poudre support9.2 gTensioactif SCI13.5 gLithothamne4.5 gSpiruline en poudre BIO1.5 gFragrance naturelle Aqua'zen0.06 g soit 2 gouttes","Préparation : 10  min","Conservation : ~6 mois*","Niveau : Débutant","Adoucissant"
"1768681537-51","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gloss-brillance-rubis-lamande-de-cerise","Gloss à lèvres brillance rubis à l'amande de cerise","Pour un flacon ~ 10 ml Beurre de Mangue BIO2 gBase poudre de Maquillage8 gColorant naturel Jus de Betterave BIO0.75 gMica Blanc brillant0.07 g soit 1 cuillère PINCHArôme alimentaire naturel Cerise Amarena BIO0.2 g soit 8 gouttes","Préparation : 10  min","Conservation : ~3 mois*","Niveau : Débutant","Maquillage"
"1768681575-52","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/composition-diffuser-destress","Composition à diffuser destress","~ 5 mlHuile essentielle Mandarine jaune2.2 g soit 86 gouttesHuile essentielle Basilic doux à  linalol BIO0.5 g soit 17 gouttesHuile essentielle Yuzu0.9 g soit 30 gouttesHuile essentielle Petitgrain Bigarade BIO0.5 g soit 17 gouttesHuile essentielle Kunzea0.5 g soit 17 gouttes","Préparation : 5  min","Conservation : ~6 mois","Niveau : Débutant",""
"1768681597-53","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/serum-cheveux-croissance-force","Sérum cheveux Croissance & Force","~50 ml Huile de Ricin BIO26 gCaprylis - Emollient26 gHuile essentielle Sauge sclarée de Provence0.8 gHuile essentielle Bois de rose BIO0.3 gHuile essentielle Pamplemousse sans furocoumarines BIO0.5 gAntioxydant Vitamine E naturelle0.1 g soit 3 gouttes","Préparation : 10  min","Conservation : ~6 mois","Niveau : Débutant","Fortifiant capillaire"
"1768681631-54","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/bougie-de-massage-devorante","Bougie de massage ""Dévorante""","~200 g Phase A Cire de Soja en pastilles (non OGM)129 gPhase BHuile d'Avocat BIO60 gFragrance naturelle Feuille de Figuier8 g Huile essentielle Menthe verte BIO3 g","Préparation : 25  min","Conservation : ~ 6 mois*","Niveau : Débutant","Tous types de peaux"
"1768681662-55","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lotion-moussante-pomme-verveine-exotique","Lotion moussante pour le bain pomme & verveine exotique","~ 100 ml  Phase A Tensioactif Mousse de Sucre sans palme30 gTensioactif Sodium Lauroyl Sarcosinate29.9 g Fragrance naturelle Pomme d'Happy1 g soit 40 gouttesHuile essentielle Litsée citronnée BIO0.5 g soit 19 gouttesPhase BEau minérale38 gPhase CChlorophylle liquide - colorant0.1 g soit 3 gouttesConservateur Cosgard0.8 g soit 25 gouttes","Préparation : 10  min","Conservation : ~3 mois","Niveau : Débutant","Tous types de peaux"
