web_scraper_order,web_scraper_start_url,URL,Title,Prep time,Level,Ingredients
"1768696787-22","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/soaks-and-scrubs/cashmere-sugar-body-scrub-project/PS000030.html","Cashmere Sugar Body Scrub Project","30 minutes","Beginner","Foaming Bath Butter"
"1768696807-23","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/melt-and-pour/rosehip-melt-and-pour-soap-project/PS000027.html","Rosehip Melt and Pour Soap Project","30 minutes","Beginner","Rosehip powder"
"1768696827-24","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/melt-and-pour/seascape-melt-and-pour-soap-project/PS000028.html","Seascape Melt and Pour Soap Project","2 hours","Advanced","Midnight Waters Fragrance Oil"
"1768696852-25","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/blueberry-hot-process-soap-project/PS000023.html","Blueberry Hot Process Soap Project","2 hours","Intermediate","Blueberry Thyme Fragrance Oil"
"1768696867-26","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/lotions-and-butters/hydrating-body-butter-sticks-project/PS000031.html","Hydrating Body Butter Sticks Project","30 minutes","Beginner","avocado butter"
"1768696887-27","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/skincare/lavender-face-mask-project/PS000015.html","Lavender Face Mask Project","30 minutes","Intermediate","skincare ingredients"
"1768696907-28","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/lotions-and-butters/floral-body-oil-project/PS000021.html","Floral Body Oil Project","30 minutes","Beginner","fractionated coconut oil"
"1768696927-29","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/lotions-and-butters/heart-lotion-bars-project/PS000035.html","Heart Lotion Bars Project","30 minutes","Beginner","sweet almond oil"
"1768696947-30","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/turmeric-ombre-soap-project/PS000036.html","Turmeric Ombre Soap Project","2 hours","Intermediate","cocoa butter"
"1768696967-31","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/lemon-poppy-seed-hot-process-soap-project/PS000037.html","Lemon Poppy Seed Hot Process Soap Project","1 hour","Intermediate","poppy seeds"
"1768696987-32","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/melt-and-pour/classic-heart-soap-project/PS000038.html","Classic Heart Soap Project","2 hours","Intermediate","Mini Heart Silicone Column Mold"
"1768697007-33","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/patchouli-and-bentonite-clay-soap-project/PS000039.html","Patchouli and Bentonite Clay Soap Project","2 hours","Intermediate","Patchouli essential oil"
"1768697027-34","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/melt-and-pour/uplifting-orange-soap-project/PS000040.html","Uplifting Orange Soap Project","2 hours","Intermediate",""
"1768697047-35","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/bath-bombs/relaxing-lavender-bath-bombs/PS000041.html","Relaxing Lavender Bath Bombs","1 hour","Intermediate","dried lavender"
"1768697067-36","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/lingonberry-rebatch-soap-project/PS000042.html","Lingonberry Rebatch Soap Project","1 hour","Beginner","Lingonberry Spice Fragrance Oil"
"1768697087-37","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/bath-bombs/lingonberry-bath-bombs-project/PS000043.html","Lingonberry Bath Bombs Project","1 hour","Intermediate","Stainless Steel Bath Bomb Mold"
"1768697107-38","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/melt-and-pour/sweet-cardamom-chai-melt-and-pour-soap-project/PS000044.html","Sweet Cardamom Chai Melt and Pour Soap Project","2 hours","Intermediate","Sweet Cardamom Chai Fragrance Oil"
"1768697127-39","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/lotions-and-butters/aloe-and-agave-lotion-project/PS000046.html","Aloe and Agave Lotion Project","1 hour","Intermediate","squalane oil"
"1768697148-40","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/seasonal/spring-and-easter/chrysanthemum-soap-project/PS000047.html","Chrysanthemum Soap Project","2 hours","Intermediate","chrysanthemum flowers"
"1768697167-41","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/skincare/squalane-and-agave-facial-oil-project/PS000048.html","Squalane and Agave Facial Oil Project","30 minutes","Beginner","Squalane oil"
"1768697188-42","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/soaks-and-scrubs/agave-sugar-scrub-project/PS000049.html","Agave Sugar Scrub Project","30 minutes","Beginner","agave extract"
"1768697207-43","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/alpine-swirl-cold-process-soap/PS000050.html","Alpine Swirl Cold Process Soap","1 hour","Intermediate","Fresh Snow Fragrance Oil"
"1768697228-44","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/birchwood-oud-cold-process-soap-project/PS000051.html","Birchwood Oud Cold Process Soap Project","2 hours","Advanced","Birchwood Oud Fragrance Oil"
"1768697247-45","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/lotions-and-butters/oat-and-cashmere-lotion-project/PS000052.html","Oat and Cashmere Lotion Project","1 hour","Intermediate","oat oil"
"1768697267-46","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/melt-and-pour/alpine-frost-crystal-soap-project/PS000053.html","Alpine Frost Crystal Soap Project","30 minutes","Beginner","Alpine Frost Fragrance Oil"
"1768697288-47","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/skincare/pumpkin-and-clay-face-mask-project/PS000054.html","Pumpkin and Clay Face Mask Project","1 hour","Intermediate","pumpkin extract"
"1768697308-48","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/lime-swirl-soap-project/PS000055.html","Lime Swirl Soap Project","1 hour","Intermediate","Avocado Butter"
"1768697327-49","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/menthol-crystal-cold-process-soap-project/PS000056.html","Menthol Crystal Cold Process Soap Project","2 hours","Beginner","menthol crystals"
"1768697348-50","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/cocoa-butter-cashmere-cold-process-soap-project/PS000057.html","Cocoa Butter Cashmere Cold Process Soap Project","2 hours","Intermediate","Learn more about discoloration here."
"1768697367-51","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/soaks-and-scrubs/soothing-oat-bath-salts/PS000058.html","Soothing Oat Bath Salts","30 minutes","Beginner","bath soak making supplies"
"1768697388-52","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/chopped-embed-cold-process-soap-project/PS000059.html","Chopped Embed Cold Process Soap Project","2 hours","Intermediate","Aqua Pearl Mica"
"1768697407-53","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/lotions-and-butters/whipped-pearl-body-butter-project/PS000061.html","Whipped Pearl Body Butter Project","30 minutes","Beginner","avocado butter"
"1768697427-54","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/siren-cold-process-soap-project/PS000063.html","Siren Cold Process Soap Project","2 hours","Advanced","Midnight Waters Fragrance Oil"
"1768697448-55","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/get-started/beginner-projects/succulent-bath-bomb-project/PS000064.html","Succulent Bath Bomb Project","30 minutes","Beginner","4 Cavity Succulent Silicone Mold"
"1768697467-56","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/skincare/volcanic-sand-face-scrub-project/PS000065.html","Volcanic Sand Face Scrub Project","30 minutes","Beginner","kaolin clay"
"1768697487-57","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/soaks-and-scrubs/pumice-and-sea-salt-scrub-project/PS000066.html","Pumice and Sea Salt Scrub Project","30 minutes","Beginner","fine grained Dead Sea salt"
"1768697508-58","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/sea-sponge-cold-process-soap-project/PS000067.html","Sea Sponge Cold Process Soap Project","2 hours","Intermediate","9 Bar Unfinished Birchwood Mold"
"1768697528-59","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/skincare/seaweed-and-cucumber-face-mask-project/PS000070.html","Seaweed and Cucumber Face Mask Project","30 minutes","Intermediate","sea clay"
"1768697547-60","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/bath-bombs/lavender-and-tea-tree-shower-steamers/PS000071.html","Lavender and Tea Tree Shower Steamers","30 minutes","Beginner","essential oils"
"1768697568-61","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/bath-bombs/raspberry-jam-bath-truffle-project/PS000072.html","Raspberry Jam Bath Truffle Project","1 hour","Intermediate","Raspberry Jam Fragrance Oil"
"1768697587-62","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/carrot-cold-process-soap/PS000074.html","Carrot Cold Process Soap","2 hours","Advanced","Horse Sculpted Layers project"
"1768697608-63","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/bath-bombs/lily-and-aloe-bath-bomb-project/PS000075.html","Lily and Aloe Bath Bomb Project","1 hour","Intermediate","jasmine flowers"
"1768697628-64","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/raspberry-truffle-soap-project/PS000077.html","Raspberry Truffle Soap Project","2 hours","Advanced","Black Raspberry Vanilla Fragrance Oil"
"1768697648-65","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/cucumber-and-aloe-circling-taiwan-soap/PS000079.html","Cucumber and Aloe Circling Taiwan Soap","2 hours","Advanced","Taiwan Swirl"
"1768697668-66","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/pink-salt-and-gold-cold-process-soap/PS000080.html","Pink Salt and Gold Cold Process Soap","2 hours","Intermediate","Gold Sparkle Mica"
"1768697688-67","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/candle-and-home/goblet-candle-project/PS000081.html","Goblet Candle Project","1 hour","Beginner","Wild Rose Fragrance Oil"
"1768697708-68","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/swirl-buttermilk-castile-soap-project/PS000082.html","Swirl Buttermilk Castile Soap Project","1 hour","Beginner","Milk Soaps"
"1768697728-69","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/poppy-seeds-and-swirls-soap-project/PS000083.html","Poppy Seeds and Swirls Soap Project","2 hours","Intermediate","Milk Soaps."
"1768697748-70","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/flax-milk-layered-soap-project/PS000084.html","Flax Milk Layered Soap Project","2 hours","Advanced","Milk Soaps"
"1768697768-71","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/melt-and-pour/donut-soap-project/PS000085.html","Donut Soap Project","2 hours","Beginner","Black Raspberry Vanilla Fragrance Oil"
"1768697788-72","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/lotions-and-butters/rose-gold-and-champagne-lotion-project/PS000086.html","Rose Gold and Champagne Lotion Project","1 hour","Intermediate","Rose Gold Fragrance Oil"
"1768697811-73","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/wild-rose-soap-project/PS000089.html","Wild Rose Soap Project","2 hours","Advanced","Wild Rose Fragrance Oil"
"1768697830-74","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/melt-and-pour/rose-quartz-soap-project/PS000090.html","Rose Quartz Soap Project","30 minutes","Beginner","here"
"1768697851-75","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/tomato-garden-soap-project/PS000091.html","Tomato Garden Soap Project","2 hours","Intermediate","Farmers Market Collection"
"1768697870-76","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/hair-care/carrot-hair-conditioner-project/PS000093.html","Carrot Hair Conditioner Project","30 minutes","Intermediate","Carrot extract"
"1768697891-77","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/avocado-cold-process-soap-project/PS000094.html","Avocado Cold Process Soap Project","2 hours","Advanced","Emerald Agave Fragrance Oil"
"1768697910-78","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/bath-bombs/cherry-blossom-bath-bomb-project/PS000095.html","Cherry Blossom Bath Bomb Project","1 hour","Beginner","baking soda"
"1768697931-79","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/body-care/pink-peony-liquid-soap-project/PS000096.html","Pink Peony Liquid Soap Project","30 minutes","Beginner","Pink Peony Fragrance Oil"
"1768697951-80","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/baby-breath-soap-project/PS000097.html","Baby Breath Soap Project","1 hour","Intermediate","titanium dioxide"
"1768697971-81","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/safflower-and-ginger-soap-project/PS000098.html","Safflower and Ginger Soap Project","2 hours","Advanced","also known as trace"
"1768697990-82","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/melt-and-pour/mini-lemon-poppy-seed-soap-project/PS000099.html","Mini Lemon Poppy Seed Soap Project","30 minutes","Beginner","lemon peel"
"1768698011-83","https://www.brambleberry.com/projects?srsltid=AfmBOori9r9W8U2gw_RhCgIhGvlxHVCuIutgIAGTz86kQyIkJuSpdU4J","https://www.brambleberry.com/projects/soap-making/cold-process/espresso-shot-cold-process-soap-project/PS000100.html","Espresso Shot Cold Process Soap Project","30 minutes","Advanced","Espresso Fragrance Oil"
